node,Proportional,Uniform
1115,573.1375,679.9907
1116,447.8514,531.7154
1117,815.6352,972.1796
1118,812.0206,951.3923
1119,1375.2551,1626.1499
1120,678.6826,799.0096
1121,1396.5590,1656.6213
1122,768.9389,907.6526
1123,589.7307,711.5848
1124,1911.4169,2225.2330
1125,1266.5441,1537.4641
1126,505.2889,603.2824
1127,743.9896,875.7145
1128,1169.2168,1380.0691
1129,517.0948,608.6286
1130,868.2283,1026.3596
1131,651.6385,765.1071
1132,737.3065,873.0495
1133,358.3953,420.1913
1134,495.5118,576.1510
1135,397.3943,460.9415
1136,421.9684,496.8965
1137,452.5835,533.3561
1138,195.8298,230.3182
1139,331.7800,385.7618
1140,493.4978,575.4377
1141,603.3428,722.7114
1142,131.9050,153.8170
1143,299.7185,347.9675
1144,431.7578,497.7134
1145,498.9354,579.5052
1146,197.7449,231.4369
1147,1660.9466,1939.6489
1148,621.3089,726.1929
1149,980.9951,1153.2154
1150,198.9284,231.8431
1151,953.7680,1115.5266
1152,365.7411,426.9022
1153,233.5852,270.2466
1155,366.5025,427.4072
